defect_id,ITEMID,DEFECT_DESC,STATUS_CD,SEVERITY_CD,ENV_CD,ASSIGNED_TO,DETECTED_BY,DETECTED_DT
651025,273,Unable to Add a Tax fom for a Client via Services. Invalid Custome ID or Customer ID not Found in Index is thrown.,Open,Emergency,CCDEV2,360273,235251,24-JUL-13
651026,273,"Unable to create client with Erisa fields.It throws the validation as ""ERISA Plan Regulated is Mandatory when ERISA Plan Type is provided """,Cannot Reproduce,High,CCDEV2,360273,273846,24-JUL-13
650960,271,"Client Search is taking too long (More than 5 min) and leads to internal server error, when searching with client id
",Open,Emergency,CCDEV2,360273,221129,24-JUL-13
650961,271,"Creating CB client  using only CB only user ,SPN indicator is Enabled which is incorrect.It should be disable.
User:E022289",Open,Emergency,CCDEV2,360273,273846,24-JUL-13
650962,271,"Even after giving modify jurisdiction(BR) permission to CB user(D454479), It says ¿You do not have permission to add or modify brazil jurisdiction ¿. ",Rejected,Emergency,CCDEV2,360273,221129,24-JUL-13
650963,271,"""CB User is unable to provide the SPN on a CB client created having no SPN via Client View/Modify",Open,Emergency,CCDEV2,360273,235234,24-JUL-13
650965,271,"Client Search is taking too long (More than 5 min) and leads to internal server error, when searching with client id
",Open,Emergency,CCDEV2,360273,221129,24-JUL-13
650964,271,"Brazil jurisdiction fields(Tax form info) when added along with other fields for a CB client goes for approval when added via services and when tax form type is given, ""tax form type invalid"" is thrown 
",Deferred,Emergency,CCDEV2,360273,221129,24-JUL-13
650966,271,"Issue 1:
When a User tries to provide access for a SID/ GID 'E115085' by providing GID_TYPE as 'Owner Approver', LOB_GRP_CD drop down has a value 'CCR'. Ideally, it should have a Value 'NRG'.
 
 
Issue 2:
LOB_OWNR_CD dropdown should contain all the New Owner ('AS', 'OT', 'IM', 'MM',  'CC' , 'XX', 'TS) Codes along with the existing Owner Code. BIST it doesnt contain the Owner Code 'XX'.
Owner Code 'XX' is NOT present in LOB_OWNR_CD column in CC_ORG_LOB_MAPPING table",Open,Emergency,CCDEV2,360273,235251,24-JUL-13
650967,271,"Unable to create a client via Services and the following error message has been displayed.
 
""CC-50034 : Error while sending message to Change Event Queue Linked Exception :MQJE001: Completion Code '2', Reason '2009'.: MQJMS2007: failed to send message to MQ queue"" ",Open,Emergency,CCDEV2,360273,114038,24-JUL-13
650968,272,Error occured in services is displayed in dev3 for any valid xmls uploaded,Open,Emergency,CCDEV2,360273,221129,24-JUL-13
650971,275,"While creating a client via online, in ownership tab when the LOB is given as RET, orgcode as any CCR orgcode and searched, no search results found is displayed ",Rejected,Emergency,CCDEV2,360273,221129,24-JUL-13
650969,273,"Issue 1: When creating a client with OT orgcodes -25701(SAP code-358800), 27506(SAP code -429000) via inbound, client gets created with RD orgcode(88503)
 
Issue 2: Two different ownercodes are displayed for an org code(10344)",Rejected,Emergency,CCDEV2,360273,221129,24-JUL-13
650970,274,"In approver Action list,when providing comments and save the transaction,it throws the sorry error page.",Open,Emergency,CCDEV2,360273,273846,24-JUL-13
650972,276,The new tag 'ReturnonlyFATCAprofile' is not existing in XSD,Open,Emergency,CCDEV2,360273,335208,24-JUL-13
650973,277,All the reports are in queue status for a very long time,Open,Emergency,CCDEV2,360273,221129,24-JUL-13
650974,278,FATCA details can't be fetched when the 'Return Only FATCA Profile' is blank,Open,Emergency,CCDEV2,360273,335208,24-JUL-13
650975,279,"Reports are not downloaded when file id is clicked. ""Internet explorer cannot display the page"" is shown",Open,Emergency,CCDEV2,360273,221129,24-JUL-13
650976,280,"""No search Results are found""is displaying when tried to link an account to a TaxForm ID in ""Tax form account linkage screen""",Open,Emergency,CCDEV2,360273,335208,24-JUL-13
26034,132,data,Hold,Medium,CCDEV4,264965,264965,18-FEB-14
650648,280,"In design document for search option 'NT1' Name,Tax Id,Country and City should be present bIST only Name,Tax Id and City is present .",Open,Emergency,CCDEV4,360273,335208,24-JUL-13
650649,280,"For the user 'U008881' myworklist screen is not updated in dev2. The last transaction shown is  12-jul-13.
 
Unable to check LOB contact because of this issue
 ",Open,Emergency,CCDEV4,360273,221129,24-JUL-13
650646,280,"The New fields added (1. Risk Rating Methodology ,2. System Source )are in different positions when compared to design document.
 ",Open,Emergency,CCDEV4,360273,322253,24-JUL-13
650647,280,Search Screen is NOT poped up on Click of Search Icon next to ORG_CODE.,Rejected,Emergency,CCDEV4,360273,235251,24-JUL-13
654553,272,"When providing non allowable special characters for the client long name,Short name and Legal name,It displays the incorrect resonse message.",Open,High,CCDEV2,360273,273846,29-JUL-13
654554,271," On updating the field, “Indicia of U.S. status found for Form W-8 client during due diligence review” for a PWM tax form it simply shows ""FATCA attributes update failed: "" validation in the report and not the exact reason
Tax form id:1000002510",Open,High,CCDEV3,360273,221129,27-JUL-13
654555,195,"Small characters 'c','f','n' are also allowed for indicia field change via FATCA maintenance template",Open,High,CCDEV4,360273,221129,30-JUL-13
654556,194,"Issue1:
Validation sheet for BEM is not present in design document.
 
Issue 2:
As per design document, services requirement point no 4.2.2.3 The W8 Form field “Date indicia of U.S. status for W-8 client cured” will be removed from the existing FATCA Maintenance XSD.
 
but the field “Date indicia of U.S. status for W-8 client cured”  is not removed",Open,Medium,CCDEV5,360273,273993,30-JUL-13
654557,193,The 'Date of Issuance' field in location specific CBDCIF2 screen does not update the year when the existing value is updated to the different year. ,Open,Low,CCDEV5,360273,220838,31-JUL-13
26102,192,Testing,Hold,Medium,CCDEV4,264965,264965,03-MAR-14
26103,192,Testing,Hold,Medium,CCDEV4,264965,264965,09-MAR-14
651066,277,"Issue1:
Validation sheet for BEM is not present in design document.
 
Issue 2:
As per design document, services requirement point no 4.2.2.3 The W8 Form field “Date indicia of U.S. status for W-8 client cured” will be removed from the existing FATCA Maintenance XSD.
 
bIST the field “Date indicia of U.S. status for W-8 client cured”  is not removed",Open,Medium,CCDEV2,360273,273993,24-JUL-13
651027,274,"When a client with only non-CLT role is changed from DEA-ACT, Donot trade reason code is still ""not active""
It should be changed to ""non client role""",Open,Medium,CCDEV2,360273,221129,24-JUL-13
654546,193,"In the User initiated FATCA maintenance report,Tax form id is displayed in the customer id column",Re-Open,Medium,CCDEV7,360273,221129,28-JUL-13
654547,192,"On changing the ""Indicia of U.S. status found for Form W-8 client during due diligence review"" field for any form type
""FATCA attributes update failed: CC-10008 : Error occured while performing database operation"" error is shown in the FATCA maintenance report
",Open,Low,CCDEV1,360273,221129,28-JUL-13
654548,277,"Uploaded template status is in 'open'  for a very long time in server file list screen
But report got generated ",Rejected,High,CCDEV2,360273,221129,29-JUL-13
654549,276,Address field values are not present when we click on the cancel button in the comparision popup screen.,Open,Low,CCDEV3,360273,273993,29-JUL-13
654550,275,Cancel BEM upload subMenu is not present under events menu,Open,High,CCDEV4,360273,221129,29-JUL-13
654551,274,Unable to create CB client via BEM by providing LOB priority as CAB and Priority Value as M,Open,Medium,CCDEV5,360273,346258,29-JUL-13
654552,273,Incorrect validation displayed during MCC NON IND client create.,Open,Low,CCDEV1,360273,298950,29-JUL-13
654558,192,Core workitem is converted to Non-core work item.,Pending,Emergency,CCDEV2,360273,346583,31-JUL-13
654559,280,Account Name/Legal Name is not displaying the comparision popup screen even though it matches the rule criteria and modifying the account name in the tax form maintenence screen.,Ready-to-Retest,Medium,CCDEV3,360273,273993,03-AUG-13
654560,279,"when providing CC non allowable special charcters for legal name,short name and Doing business as name for Mass client create,it should through an error message as ""CCS-01156-Short Name cannot contain special characters except {0}""
It is wrong it should displays the full validation message.
User:U008881
File id:6188",Open,Medium,CCDEV4,360273,273846,03-AUG-13
654561,278,"when providing fully special characters for name 1 and name 2 in CIS inbound,it throws the validation message.but name we can able to provide fully special character.",Fixed,Medium,CCDEV5,360273,273846,03-AUG-13
654562,277,CCS-01552-ERISA Contractual Capacity field is required when ERISA Plan Regulated is Y or O - incorrect validation is thrown when ECC is not entered with ERF as Y/O while creating a VEN role client in MCC,Deferred,Medium,CCDEV1,360273,298950,03-AUG-13
654563,276,In Comparision pop up screen Country with US is not displaying,Hold,Emergency,CCDEV2,360273,335208,03-AUG-13
654541,273,"When FATCA maintenance template radio button is clicked, download code value reference sheet hyperlink is displayed. Now if the non-individual template radio button is clicked both the code value reference sheets are displayed",Deferred,Emergency,CCDEV2,360273,221129,28-JUL-13
654542,272,"when providing doing business as field as alphabetic characters,it throw the alert message as ""Alphanumeric"".remove the alert messge.",Hold,Low,CCDEV3,360273,273846,28-JUL-13
654543,271,"When providing less then four characters for doing business as field,the cc non allowable special characters also accepted(i.e like ra$,r=a,$ad etc).It is wrong.it should throwa validation message.",Cannot Reproduce,Low,CCDEV4,360273,273846,28-JUL-13
654544,195,"In the comparision popup screen if the user click on Close Button and again submit the transaction without modifying any fields, Data got updated successfully.whether again comparision popup screen will be displayed?
 
 this point is not mentioned in the design document.",Duplicate,Low,CCDEV5,360273,273993,28-JUL-13
654545,194,"when modifying client with subtype Agent Principle,providing  special characters for doing business field it throws the hard validation messge.It is wrong .Only soft validation should be thrown.
User:U008881
Client Id:0251798307 ",Open,High,CCDEV6,360273,273846,28-JUL-13
650603,276,"When providing less then four characters for doing business as field,the cc non allowable special characters also accepted(i.e like ra$,r=a,$ad etc).It is wrong.it should throwa validation message.",Open,Emergency,CCDEV4,360273,273846,24-JUL-13
650604,276,"In the comparision popup screen if the user click on Close BISTton and again submit the transaction withoIST modifying any fields, Data got updated successfully.whether again comparision popup screen will be displayed?
 
 this point is not mentioned in the design document.",Open,Emergency,CCDEV4,360273,273993,24-JUL-13
650605,276,"when modifying client with subtype Agent Principle,providing  special characters for doing business field it throws the hard validation messge.It is wrong .Only soft validation should be thrown.
User:U008881
Client Id:0251798307 ",Open,Emergency,CCDEV4,360273,273846,24-JUL-13
650606,276,"In the User initiated FATCA maintenance report,Tax form id is displayed in the customer id column",Fixed,Emergency,CCDEV4,360273,221129,24-JUL-13
650607,276,"On changing the ""Indicia of U.S. status found for Form W-8 client during due diligence review"" field for any form type
""FATCA attribISTes update failed: CC-10008 : Error occured while performing database operation"" error is shown in the FATCA maintenance report
",Open,Emergency,CCDEV4,360273,221129,24-JUL-13
650601,275,"When FATCA maintenance template radio bISTton is clicked, download code value reference sheet hyperlink is displayed. Now if the non-individual template radio bISTton is clicked both the code value reference sheets are displayed",Open,Emergency,CCDEV4,360273,221129,24-JUL-13
650602,275,"when providing doing business as field as alphabetic characters,it throw the alert message as ""Alphanumeric"".remove the alert messge.",Open,Emergency,CCDEV4,360273,273846,24-JUL-13
650608,276,"Uploaded template status is in 'open'  for a very long time in server file list screen
BIST report got generated ",Open,Emergency,CCDEV4,360273,221129,24-JUL-13
650609,276,Address field values are not present when we click on the cancel bISTton in the comparision popup screen.,Open,Emergency,CCDEV4,360273,273993,24-JUL-13
650610,276,Cancel BEM upload subMenu is not present under events menu,Open,Emergency,CCDEV4,360273,221129,24-JUL-13
650611,276,Unable to create CB client via BEM by providing LOB priority as CAB and Priority Value as M,Open,Emergency,CCDEV4,360273,346258,24-JUL-13
650612,276,Incorrect validation displayed during MCC NON IND client create.,Open,Emergency,CCDEV4,360273,298950,24-JUL-13
650613,276,"When providing non allowable special characters for the client long name,Short name and Legal name,It displays the incorrect resonse message.",Deferred,Emergency,CCDEV4,360273,273846,24-JUL-13
650614,277," On updating the field, “Indicia of U.S. status found for Form W-8 client during due diligence review” for a PWM tax form it simply shows ""FATCA attribISTes update failed: "" validation in the report and not the exact reason
Tax form id:1000002510",Open,Emergency,CCDEV4,360273,221129,24-JUL-13
650615,277,"Small characters 'c','f','n' are also allowed for indicia field change via FATCA maintenance template",Open,Emergency,CCDEV4,360273,221129,24-JUL-13
650616,277,"Issue1:
Validation sheet for BEM is not present in design document.
 
Issue 2:
As per design document, services requirement point no 4.2.2.3 The W8 Form field “Date indicia of U.S. status for W-8 client cured” will be removed from the existing FATCA Maintenance XSD.
 
bIST the field “Date indicia of U.S. status for W-8 client cured”  is not removed",Open,Emergency,CCDEV4,360273,273993,24-JUL-13
650617,277,The 'Date of Issuance' field in location specific CBDCIF2 screen does not update the year when the existing value is updated to the different year. ,Open,Emergency,CCDEV4,360273,164004,24-JUL-13
650618,277,Core workitem is converted to Non-core work item.,Open,Emergency,CCDEV4,360273,346583,24-JUL-13
650619,277,Account Name/Legal Name is not displaying the comparision popup screen even though it matches the rule criteria and modifying the account name in the tax form maintenence screen.,Open,Emergency,CCDEV4,360273,273993,24-JUL-13
650620,277,"when providing CC non allowable special charcters for legal name,short name and Doing business as name for Mass client create,it should through an error message as ""CCS-01156-Short Name cannot contain special characters except {0}""
It is wrong it should displays the full validation message.
User:U008881
File id:6188",Fixed,Emergency,CCDEV4,360273,273846,24-JUL-13
650621,277,"when providing fully special characters for name 1 and name 2 in CIS inbound,it throws the validation message.bIST name we can able to provide fully special character.",Open,Emergency,CCDEV4,360273,273846,19-JAN-14
650624,278,"Tax Form is not updated successfully when W8 document status is provided as ""Active Certified"" and Indicia of U.S. status found for Form W-8 client during due diligence review is provided as ""Indica cured"".
 
The page remains as it is after submit
 
tax form is not created only when these fields are given",Open,Emergency,CCDEV4,360273,273993,24-JUL-13
650625,278,values which are provided while creating a taxform are not present after form is created,Open,Emergency,CCDEV4,360273,273993,24-JUL-13
650626,278,"Client Search is taking too long (More than 5 min) and leads to internal server error, when searching with client id
",Open,Emergency,CCDEV4,360273,221129,24-JUL-13
650627,278,"Creating CB client  using only CB only user ,SPN indicator is Enabled which is incorrect.It should be disable.
User:E022289",Open,Emergency,CCDEV4,360273,273846,24-JUL-13
650622,277,CCS-01552-ERISA Contractual Capacity field is required when ERISA Plan Regulated is Y or O - incorrect validation is thrown when ECC is not entered with ERF as Y/O while creating a VEN role client in MCC,Open,Emergency,CCDEV4,360273,298950,24-JUL-13
650623,278,In Comparision pop up screen Country with US is not displaying,Open,Emergency,CCDEV4,360273,335208,24-JUL-13
650630,278,"Brazil jurisdiction fields(Tax form info) when added along with other fields for a CB client goes for approval when added via services and when tax form type is given, ""tax form type invalid"" is thrown 
",Deferred,Emergency,CCDEV4,360273,221129,24-JUL-13
650631,278,"Issue 1:
When a User tries to provide access for a SID/ GID 'E115085' by providing GID_TYPE as 'Owner Approver', LOB_GRP_CD drop down has a value 'CCR'. Ideally, it should have a Value 'NRG'.
 
 
Issue 2:
LOB_OWNR_CD dropdown should contain all the New Owner ('AS', 'OT', 'IM', 'MM',  'CC' , 'XX', 'TS) Codes along with the existing Owner Code. BIST it doesnt contain the Owner Code 'XX'.
Owner Code 'XX' is NOT present in LOB_OWNR_CD column in CC_ORG_LOB_MAPPING table",Open,Emergency,CCDEV4,360273,235251,24-JUL-13
650628,278,"Even after giving modify jurisdiction(BR) permission to CB user(D454479), It says “You do not have permission to add or modify brazil jurisdiction ”. ",Rejected,Emergency,CCDEV4,360273,221129,24-JUL-13
650629,278,"""CB User is unable to provide the SPN on a CB client created having no SPN via Client View/Modify",Open,Emergency,CCDEV4,360273,235234,24-JUL-13
